Numéro notice,Titre,Auteur,Titre Périodique,Volume,Numéro,Date,DateDébut,DateFin,Collation,Editeur,Lieu,Notes,Type,Sujets
516,"Du théâtre à la chanson André Paiement, dramaturge-parolier","GAUTHIER ROCHELEAU, Stéphane",,,,1996,1996-01-01,1996-12-31,p. 151-171,Triptyque,Montréal,,Analyse,"Paiement, André|CANO-musique|Paquette, Robert|oralité|identité|Aymar, Marcel"
517,Régionale et insuffisante pour assurer une relève,"GILBERT, François",Liaison,,16,juin 1981,1981-06-01,1981-06-30,p. 6,,,,Compte rendu,"La Nuit sur l'étang|Germain, Pierre|relève"
518,Un morceau de Purlaine,"LEBLANC, Lise",Liaison,,14,février 1981,1981-02-01,1981-02-28,p. 37,,,,Compte rendu,"Purlaine|Demers, Paul|Major, Daniel"
519,Il y aura une nuit sur l'étang cette année,"GILBERT, François",Liaison,,14,février 1981,1981-02-01,1981-02-28,p. 33,,,,Annonce,La Nuit sur l'étang|financement
520,"Engagement ""écrit"" en musique chez quelques artistes francophones ?","GILBERT, François",Liaison,,13,décembre 1980,1980-12-01,1980-12-31,p. 29-32,,,,Entrevue,"Germain, Pierre|musique dans les écoles|Pierre et le papillon|Paquette, Robert|chanteur engagé|musique traditionelle|Poliquin, Donald|amour|Dumouchel, Georges Léandre|Purlaine|Demers, Paul|Grouette, Alain|Major, Daniel|Thériault, Normand|financement|diffusion"
521,La situation des artistes francophones en Ontario,"GILBERT, François",Liaison,,12,octobre 1980,1980-10-01,1980-10-31,p. 31,,,,Analyse,industrie|financement|promotion|diffusion
522,Le Festival Franco-Ontarien,"LAVALLÉE, Chantal",Liaison,,11,août 1980,1980-08-01,1980-08-31,p. 22-23,,,,Compte rendu,Festival Franco-ontarien|historique|artistes franco-ontariens
523,On en aura jamais assez parlé...,"TRUAX, Denise",Liaison,,11,août 1980,1980-08-01,1980-08-31,p. 27,,,,Compte rendu,"J'ai au creux de mes mains une chanson|Purlaine|théâtre de la Vieille 17|Dalpé, Jean Marc|Vallières, Michel|identité|passé"
524,"Une première : Musique, poésie, théâtre-ensemble","GILBERT, François",Liaison,,10,1980,1980-01-01,1980-12-31,p. 17,,,,Compte rendu,"J'ai au creux de mes mains une chanson|Purlaine|théâtre de la Vieille 17|Vallières, Michel|Dalpé, Jean Marc|Haentjens, Brigitte"
525,La nuit sur l'étang,"WOODS, Alanna",Liaison,,10,1980,1980-01-01,1980-12-31,p. 17,,,,Compte rendu,"La Nuit sur l'étang|Germain, Pierre|Dickson, Robert|Martin, Gilles Laurent|Rhéaume, Daniel|Séguin, Richard A.|Paquette, Robert|33 Barrette|1755"
526,"Trois voix, deux guitares, un piano : Balise",,Liaison,,9,avril 1980,1980-04-01,1980-04-30,p. 24,,,,Portrait,"Balise|Donogue, Jo-Anne|Giroux, André|Lavallée, Chantal"
527,CANO Notes sur une expérience collective,"MÉNARD, Jacques",Liaison,,7,septembre - octobre 1979,1979-09-01,1979-10-31,p. 18-19,,,,Compte rendu,"CANO-musique|création collective|industrie|documentaire|CANO, notes sur une expérience collective"
528,La Nuit sur l'étang. Rendez-vous avec l'avenir,"RENAUD, Normand",Liaison,,69,novembre 1992,1992-11-01,1992-11-30,p. 26-27,,,,Analyse,La Nuit sur l'étang|relève|médias|Festival Franco-ontarien|La Brunante à la SRC
529,"Pierre Albert, Paul Demers","RICHER, Paulette",Liaison,,68,septembre 1992,1992-09-01,1992-09-30,p. 40,,,,Compte rendu,"Albert, Pierre|Paul Demers (biographie)"
530,Les jeunes loups de la nuit,"BENOÎT, Yves Gérard",Liaison,,67,mai 1992,1992-05-01,1992-05-31,p. 5-7,,,,Compte rendu,"La Nuit sur l'étang|Lajoie, Josée|DiCaire, Nathalie|Gauvreau, Josée|Karkour, Carine|Speedbois|Doyon, Yves|Girouard, Marc|Fleury, Sylvain"
531,Festival franco-ontarien : Branché sur le monde d'ici ?,"MARCHILDON, Gilles",Liaison,,67,mai 1992,1992-05-01,1992-05-31,p. 14-15,,,,Entrevue,Festival Franco-ontarien|artistes franco-ontariens|francophonie internationale
532,Breen Leboeuf de ville en aventure,"RICHER, Paulette",Liaison,,61,mars 1991,1991-03-01,1991-03-31,p. 23,,,,Critique,"Leboeuf, Breen|De ville en aventure"
533,Gérard Dalton. Ambassadeur de l'enfance,"PELLETIER, Marie-Ève",Liaison,,60,janvier 1991,1991-01-01,1991-01-31,p. 7,,,,Portrait,"Dalton, Gérard|musique pour enfant"
534,Paul Demers. Le voici enfin mon premier microsillon,"RICHER, Paulette",Liaison,,59,novembre 1990,1990-11-01,1990-11-30,p. 7,,,,Critique,"Demers, Paul|Paul Demers (éponyme)"
535,"Festival franco-ontarien. A comme Amour, A comme Anniversaire","SYLVESTRE, Paul-François",Liaison,,58,septembre 1990,1990-09-01,1990-09-30,p. 4-5,,,,Compte rendu,"Festival Franco-ontarien|Lanthier, André|Ontario Pop|Barrette, Simon|Côté, Julie|relève"
536,L'héritage des années 1980 riche mais vulnérable,"SYLVESTRE, Paul-François",Liaison,,55,janvier 1990,1990-01-01,1990-01-31,p. 4-5,,,,Compte rendu,"Aymar, Marcel|Paquette, Robert|Demers, Paul|diffusion|financement|distribution"
537,"Jean-Guy Labelle. Rock, tendresse et héros d'enfance","BÉLANGER, Louis",Liaison,,55,janvier 1990,1990-01-01,1990-01-31,p. 12-13,,,,Portrait,"Labelle, Jean-Guy (Chuck)|rock|Mokombo"
538,"J'ai des mots, j'ai des sons sur la langue. J'ai besoin de vous les chanter","SYLVESTRE, Paul-François",Liaison,,53,septembre 1989,1989-09-01,1989-09-30,p. 7,,,,Compte rendu,"Ontario Pop|Cyr, Alain|DiCaire, Nathalie"
539,Marcel Aymar en marge. Solidité et fragilité d'une création,"HAENTJENS, Brigitte",Liaison,,52,mai 1989,1989-05-01,1989-05-31,p. 4-7,,,,Portrait,"Aymar, Marcel|Cris et Blues|CANO-musique"
540,Donald Poliquin. Un géant aux yeux d'enfant,"HAENTJENS, Brigitte",Liaison,,52,mai 1989,1989-05-01,1989-05-31,p. 26-28,,,,Entrevue,"Poliquin, Donald|musique pour enfant"
541,Janie Renée. Je veux créer une demande pour un produit d'ici,,Liaison,,51,mars 1989,1989-03-01,1989-03-31,p. 9,,,,Entrevue,"Renée, Janie|ballade|Marché international du disque et de l'édition musicale (MIDEM)|distribution"
542,"Voyage solitaire (La dance matinale, Dans l'Moulin à fleur, Fond d'une bouteille)","AYMAR, Marcel",Liaison,,48,septembre 1988,1988-09-01,1988-09-30,p. 32,,,,Chanson,"Aymar, Marcel"
543,Une brèche francophone dans le bastion du rock anglophone,"LA ROCHE, Paule",,,47,juin 1988,1988-06-01,1988-06-30,p. 6,,,,Texte d'information,radio|rock francophone
544,Un festival sur plusieurs rives ou les affluents d'une même culture,,Liaison,,47,juin 1988,1988-06-01,1988-06-30,p. 10,,,,Annonce,Festival Franco-ontarien
545,Richard Bastien. Voler vers d'autres cieux,"RICHER, Paulette",Liaison,,45,hiver 1987,1987-12-21,1988-03-19,p. 5-6,,,,Texte d'information,"Bastien, Richard|rock"
546,"Richard Bastien : en plein essor. Il veut le succès, et vite!","PAYANT, Chantal",Liaison,,42,printemps 1987,1987-03-20,1987-06-20,p. 5-6,,,,Portrait,"Bastien, Richard|rock francophone|chanter en français"
547,Le Festival franco-ontarien : Un festival des Français d'Amérique,"ROY, Monique",Liaison,,42,printemps 1987,1987-03-20,1987-06-20,p. 6,,,,Texte d'information,Festival Franco-ontarien|francophonie
548,Le pont entre hier et aujourd'hui,"PICHETTE, Marie-Hélène",Liaison,,98,septembre 1998,1998-09-01,1998-09-30,p. 22-23,,,,Critique,Deux Saisons|Au bal des bois
549,"Garolou, Réunion",,Liaison,,95,janvier 1998,1998-01-01,1998-01-31,p. 35,,,,Critique,Réunion|Garolou
550,Festival franco-ontarien. Une meilleure place pour nos artistes,,Liaison,,93,septembre 1997,1997-09-01,1997-09-01,p. 41,,,,Texte d'information,"Festival Franco-ontarien|Berthiaume, Annie|DiCaire, Véronic|Brasse-Camarade|Roy, Joëlle|Landry, Marc|Yvan et les Voyous|Kif-Kif|Deux Saisons"
551,Création sur fond d'hiver,"PSENAK, Stefan",Liaison,,91,mars 1997,1997-03-01,1997-03-31,p. 9,,,,Texte d'information,"La Nuit sur l'étang|Labelle, Jean-Guy (Chuck)|En Bref"
552,Sudbury à la carte,"PSENAK, Stefan",Liaison,,89,novembre 1996,1996-11-01,1996-11-30,p. 9,,,,Critique,"Chaizes Muzikales|Rose ou vert|Labelle, Jean-Guy (Chuck)|Terre fragile"
553,Défi relevé avec brio,"BEAUDOIN, Louise",Liaison,,89,novembre 1996,1996-11-01,1996-11-30,p. 27,,,,Critique,Pleine lune|APCM (Association des professionnels de la chanson et de la musique)|artistes variés
554,L'arbre génialogique ou plus d'un artiste au sein d'une même famille,"GAGNON, Jeanne",Liaison,,88,septembre 1996,1996-09-01,1996-09-30,p. 19-25,,,,Analyse,"Paquette, Robert|Lamoureux, François|Lamoureux, Pierre|Labelle, Jean-Guy (Chuck)|Labelle, François|influence familiale|collaboration artistique"
555,Ontario Pop. Toronto et Rockland sortent vainqueurs,,Liaison,,88,septembre 1996,1996-09-01,1996-09-30,p. 41,,,,Annonce,"Ontario Pop|Parisien, Sonia|Kigel, Liora"
556,Disque bien documenté,"DESCHÊNES, Donald",Liaison,,87,mai 1996,1996-05-01,1996-05-31,p. 26,,,,Critique,"Bénéteau, Marcel|Vieilles chansons du Détroit/Old French Songs of Le Détroit|folklore"
557,La Nuit sur l'étang. La Nuit des prix,,,,87,mai 1996,1996-05-01,1996-05-31,p. 32,,,,Compte rendu,La Nuit sur l'étang|En Bref|Chaizes Muzikales
558,Joëlle Lanoix... Déterminée de nous surprendre,"ST-PIERRE, Luce",Liaison,,41,hiver 1987,1987-12-21,1988-03-19,p. 5,,,,Entrevue,"Lanoix, Joëlle"
559,La 10e édition du Festival franco-ontarien : Un rassemblement communautaire d'envergure nationale,"CARRIÈRE, Fernan",Liaison,,36,automne 1985,1985-09-22,1985-12-20,p. 18-20,,,,Compte rendu,"Festival Franco-ontarien|historique|Demers, Paul"
560,Roxanne Potvin : La chanson constitue tout son monde,,Liaison,,36,automne 1985,1985-09-22,1985-12-20,p. 25-26,,,,Entrevue,"Potvin, Roxanne|Spécial du jour|chanson en anglais"
561,Le Festival franco-ontarien d'Ottawa a 10 ans,,Liaison,,35,été 1985,1985-06-21,1985-09-21,p. 10,,,,Annonce,Festival Franco-ontarien
562,Contact Ontarois 1985 : On anticipe une excellente saison 1985-1986,"CARRIÈRE, Fernan",Liaison,,35,été 1985,1985-06-21,1985-09-21,p. 17,,,,Texte d'information,Contact Ontario|musique dans les écoles
563,CANO et Robert Paquette : Créer ou répondre au marché,"FAIRFIELD, Charles",Liaison,,35,été 1985,1985-06-21,1985-09-21,p. 55,,,,Critique,"CANO|Visible|Paquette, Robert|Gare à vous"
564,"La scène musicale en Ontario : Elle n'est pas grande, mais il y a encore de la place","TANGUAY, Paul",Liaison,,34,printemps 1985,1985-03-20,1985-06-20,p. 21-23,,,,Analyse,"industrie|exode d'artistes|Paquette, Robert|musique dans les écoles|tournées|spectacle|relève|chanson en anglais|institutions|financement|Poliquin, Donald"
565,La Nuit sur l'Étang mettra l'accent sur la relève,,Liaison,,33,hiver 1984 - 1985,1984-12-21,1985-03-19,p. 17,,,,Annonce,La Nuit sur l'étang|relève
566,Une première à la Nuit sur l'étang : La Bourse Bertrand accordée à Donald Poliquin,,Liaison,,31,juin 1984,1984-06-01,1984-06-30,p. 13,,,,Compte rendu,"Poliquin, Donald|La Nuit sur l'étang|Bourse Bertrand|Paquette, Robert"
567,Les festivals d'été. La culture en plein-air,"CANTIN, Adrien",Liaison,,31,juin 1984,1984-06-01,1984-06-30,p. 30-33,,,,Texte d'information,Festival Franco-ontarien|La Nuit sur l'étang|historique
568,À la Nuit sur l'Étang - édition 84 : Une nouvelle bourse de création,"VAILLANCOURT-RYERSON, Marcel",Liaison,,30,mars 1984,1984-03-01,1984-03-31,p. 14-15,,,,Annonce,La Nuit sur l'étang|Bourse Bertrand
569,Après neuf mois d'existence. L'Etournan entend bien persévérer dans l'industrie de la musique,"GILBERT, François",Liaison,,28,septembre 1983,1983-09-01,1983-09-30,p. 51,,,,Portrait,"Etournan|Dumouchel, Georges Léandre|maison de production"
570,"Enfin, notre culture étampée classique","MARCHILDON, Daniel",Liaison,,28,septembre 1983,1983-09-01,1983-09-30,p. 72-73,,,,Opinion,"Radio-Canada|Paquette, Robert|CANO-musique|Aymar, Marcel|Poliquin, Donald"
571,"Paul Tanguay. En veux-tu, des rêves ?!","TRUAX, Denise",Liaison,,27,été 1983,1983-12-21,1983-09-21,p. 6-9 et 47,,,,Entrevue,"Tanguay, Paul|Poliquin, Donald|assimilation|imprésario"
572,Le Festival franco-ontarien. Une atmosphère à vivre!,,Liaison,,27,été 1983,1983-12-21,1983-09-21,p. 33,,,,Annonce,Festival Franco-ontarien
573,La Nuit sur l'Étang 1983 : Nuit de présences,"VILLENEUVE, Jocelyne",Liaison,,27,été 1983,1983-12-21,1983-09-21,p. 34-35,,,,Compte rendu,La Nuit sur l'étang
574,"Poliquin ou «Ce disque est dédié à toi, Pierrot...»","LALIBERTÉ, François",Liaison,,27,été 1983,1983-12-21,1983-09-21,p. 41,,,,Critique,"Poliquin, Donald|Poliquin|folklore"
575,Pierre et le Papillon. Un disque qui descend du ciel,"DICKSON, Robert",Liaison,,26,mars - avril 1983,1683-03-01,1983-04-30,p. 29-30,,,,Critique,"Pierre et le papillon|Germain, Pierre|musique pour enfant|Bédard, Dan"
576,Au creux de la chanson. Un spectacle des plus émouvant,"TANGUAY, Paul",Liaison,,25,janvier - février 1983,1983-01-01,1983-02-28,p. 31,,,,Compte rendu,"Demers, Paul|Au creux de la chanson|comédie musicale"
577,La source d'Information des Artistes. À votre service,"BARD, Aline",Liaison,,24,octobre - novembre 1982,1982-10-01,1982-11-30,p. 35,,,,Texte d'information,La Source d'Information des Artistes
578,Cécile Frenette. Une voix à connaître,"DANOY, Colette",Liaison,,24,octobre - novembre 1982,1982-10-01,1982-11-30,p. 40,,,,Portrait,"Frenette, Cécile|voix"
579,"François Lemieux : ""Juste qu'à temps que je crèves""","TRUAX, Denise",Liaison,,23,août - septembre 1982,1982-08-01,1982-09-30,p. 7-8,,,,Entrevue,"Lemieux, François|chanter en français|chanson en anglais"
580,Où en sommes-nous ?,"HÉBERT, Marc",Liaison,,23,août - septembre 1982,1982-08-01,1982-09-30,p. 12-15 et 22,,,,Analyse,"Paiement, Lise|Demers, Paul|Dumouchel, Georges Léandre|industrie|identité|diffusion|financement|médias"
581,Dans les coulisses de Hearst... Donald Poliquin,"TRUDEL, Jeannot|HÉBERT, Marc",Liaison,,23,août - septembre 1982,1982-08-01,1982-09-30,p. 16,,,,Portrait,"Poliquin, Donald|folklore"
582,Une Atmosphère à vivre,"HÉBERT, Marc",Liaison,,23,août - septembre 1982,1982-08-01,1982-09-30,p. 26-27,,,,Entrevue,Festival Franco-ontarien|engagement
583,Le Festival franco : plus près de sa communauté,"HÉBERT, Marc",Liaison,,22,juin - juillet 1982,1982-06-01,1982-07-31,p. 37,,,,Annonce,Festival Franco-ontarien
584,Du nouveau chez Paquette,"GILBERT, François",Liaison,,19,décembre 1981 - janvier 1982,1981-12-01,1982-01-31,p. 32,,,,Critique,"Paquette, Robert|Paquette"
585,De la dénonciation... vers l'énonciation ? Une nouvelle voix se fait entendre,"MARCHILDON, Daniel",Liaison,,17,août 1981,1981-08-01,1981-08-31,p. 9 et 38,,,,Portrait,"Lavoie, Louis|spectacle"
586,Les Acadiens nous ont dit...,"KEMP, Johanne",Liaison,,17,août 1981,1981-08-01,1981-08-31,p. 33,,,,Texte d'information,Festival Franco-ontarien
587,"Le festival franco-ontarien 1981. Une réussite, certes, mais où est la relève franco-ontarienne ?","GILBERT, François",Liaison,,17,août 1981,1981-08-01,1981-08-31,p. 34,,,,Compte rendu,Festival Franco-ontarien|artistes franco-ontariens|relève
588,La Brunante à Hearst. Quatre finalistes,,Liaison,,86,mars 1996,1996-03-01,1996-03-31,p. 33,,,,Annonce,La Brunante à la SRC
589,Un Noël sur un air... country,"OSBORNE, Benoît",Liaison,,85,janvier 1996,1996-01-01,1996-01-31,p. 42,,,,Critique,"Labelle, Jean-Guy (Chuck)|Paquette, Robert|Un cadeau de Noël"
590,Neuf extraits de chansons,"AYMAR, Marcel",Liaison,,84,novembre 1995,1995-11-01,1995-11-30,p. 20,,,,Chanson,"Aymar, Marcel"
591,Kif-Kif fait le tour de la planète et de ses bobos avec intelligence,"OSBORNE, Benoît",Liaison,,84,novembre 1995,1995-11-01,1995-11-30,p. 29,,,,Critique,"Kif-Kif|Tout l'univers|Cormier, Alain|Dupuy, André|Saint-Pierre, Dominique|Brodie, Nicky"
592,Le buffet est servi et bien assaisonné,"OSBORNE, Benoît",Liaison,,84,novembre 1995,1995-11-01,1995-11-30,p. 30,,,,Critique,"Yvan et les Voyous|Buffet|rock francophone|Vollé, Yvan (Yvan Bilodeau)"
593,En Bref et en large,"GAGNON, Paulette",Liaison,,83,septembre 1995,1995-09-01,1995-09-30,p. 30,,,,Portrait,"En Bref|Doyon, Yves|Laforest, Martin|Sasyniak, Shawn|Aultman, Scott"
594,Conte onirique,,Liaison,,83,septembre 1995,1995-09-01,1995-09-30,p. 47,,,,Critique,"Paquette, Robert|Moi, je viens du Nord"
595,Ontario pop. Myriade de prix,,Liaison,,83,septembre 1995,1995-09-01,1995-09-30,p. 49,,,,Annonce,"Vafaï, Sara|Lafontaine, Martine"
596,Le nouveau festival franco-ontarien,"SYLVESTRE, Paul-François",Liaison,,82,mai 1995,1995-05-01,1995-05-31,p. 21-23,,,,Annonce,Festival Franco-ontarien|artistes franco-ontariens
597,Nuit sur l'étang. La Brunante à la SRC,,Liaison,,82,mai 1995,1995-05-01,1995-05-31,p. 45,,,,Annonce,La Brunante à la SRC|Brasse-Camarade|Cormoran|Chaizes Muzikales
598,Ontario pop 10e anniversaire,,Liaison,,81,mars 1995,1995-03-01,1995-03-31,p. 45,,,,Annonce,Ontario Pop|lauréat
599,Brasse-Camarade au palmarès,,Liaison,,81,mars 1995,1995-03-01,1995-03-31,p. 45,,,,Texte d'information,Brasse-Camarade|palmarès
600,Maurice Lamothe. La chanson populaire ontaroise 1970-1990,"LAMOTHE, Maurice",Liaison,,76,septembre 1994,1994-09-01,1994-09-30,p. 26-27,,,,Extrait,"Lamothe, Maurice|La chanson populaire ontaroisede 1970 à 1990 : ses produits, sa pratique"
601,Faites place au cow-boy d'Azilda,"RICHER, Paulette",Liaison,,78,septembre 1994,1994-09-01,1994-09-30,p. 42,,,,Critique,"Labelle, Jean-Guy (Chuck)|Chuck"
602,La chanson ontaroise a sa carte de visite,"LABERGE, Stéphane",Liaison,,78,septembre 1994,1994-09-01,1994-09-30,p. 43,,,,Critique,artistes variés|Chansons + musique ontaroises|APCM (Association des professionnels de la chanson et de la musique)
603,Ontario pop neuvième édition,,Liaison,,78,septembre 1994,1994-09-01,1994-09-30,p. 45,,,,Annonce,"Ontario Pop|Constant, Léonard|DiCaire, Véronic"
604,La Nuit sur l'étang. De retour avec un nouveau message,"MILLETTE, Dominique",Liaison,,77,mai 1994,1994-05-01,1994-05-31,p. 6-7,,,,Analyse,"La Nuit sur l'étang|relève|chanter en français|Kif-Kif|Hardis Moussaillons|Labelle, Jean-Guy (Chuck)|En Bref"
605,Les artistes ont fait la fête,"SYLVESTRE, Paul-François",Liaison,,55,janvier 1990,1990-01-01,1990-01-31,p. 11,,,,Compte rendu,"Demers, Paul|Notre place (extrait)|Gala de la loi 8"
606,De Smooth Rock Falls à Iqaluit,"PSENAK, Stefan",Liaison,,77,mai 1994,1994-05-01,1994-05-31,p. 10-11,,,,Portrait,"Landry, Marc|Notes en folie|pianiste"
607,"France Gauthier et Pat Clémence, Hara","JOANISSE, Marc-André",Liaison,,76,mars 1994,1994-03-01,1994-03-31,p. 45,,,,Critique,"Gauthier, France|Clémence, Pat|Hara|Hara (éponyme)"
608,Nuit sur l'étang. 21e édition,,Liaison,,76,mars 1994,1994-03-01,1994-03-31,p. 46,,,,Compte rendu,La Nuit sur l'étang|La Brunante à la SRC
609,Message intergalactique,"SAINT-PIERRE, Dominique",Liaison,,74,novembre 1993,1993-11-01,1993-11-30,p. 25,,,,Opinion,"Saint-Pierre, Dominique"
610,Le Festival franco-ontarien n'est plus. Vive le Franco !,,Liaison,,73,septembre 1993,1993-09-01,1993-09-30,p. 4,,,,Texte d'information,Festival Franco-ontarien|artistes franco-ontariens
611,"Association des professionnels de la chanson et de la musique franco-ontariennes, Quatorze artistes de l'Ontario français","MARCOUX, Bonfield",Liaison,,73,septembre 1993,1993-09-01,1993-09-30,p. 45,,,,Critique,APCM (Association des professionnels de la chanson et de la musique)|Quatorze artistes de l'Ontario français|artistes variés
612,Richard de Grandmont. Businessman de la chanson,"BRUNET, Marie-Élisabeth",Liaison,,72,mai 1993,1993-05-01,1993-05-31,p. 29,,,,Portrait,"APCM (Association des professionnels de la chanson et de la musique)|de Grandmont, Richard|diffusion|Purlaine|industrie"
613,"Michel Paiement, Premier Paiement et Brasse-Camarade, Brasse-Camarade","RICHER, Paulette",Liaison,,72,mai 1993,1993-05-01,1993-05-31,p. 45,,,,Critique,"Paiement, Michel|Premier Paiement|Brasse-Camarade|Lamoureux, François|Lamoureux, Pierre"
614,"Huit prix, Félicitations!",,Liaison,,72,mai 1993,1993-05-01,1993-05-31,p. 47,,,,Annonce,"Brasse-Camarade|Karkour, Carine|Paiement, Michel"
615,Paul Demers,"MELANÇON, Johanne",Liaison,,100,janvier 1999,1999-01-01,1999-01-31,p. 35,,,,Compte rendu,"Demers, Paul"
616,Sortez prendre l'air,"SAINT-PIERRE, Dominique",Liaison,,104,novembre 1999,1999-11-01,1999-11-30,p. 8-9,,,,Opinion,sons|silence|musique
617,Le Secret d'Annie est maintenant dévoilé,"MADORE, Pierrette",Liaison,,109,hiver 2000 - 2001,2000-12-21,2001-03-19,p. 33,,,,Portrait,"Berthiaume, Annie"
618,Stéphane Paquette est comme il est,"PSENAK, Stefan",Liaison,,110,printemps 2001,2001-03-20,2001-06-20,p. 44,,,,Critique,"Paquette, Stéphane (Stef)|Chaizes Muzikales|Je suis comme je suis"
619,Le hip hop du Shah Loskar,"PICHETTE, Marie-Hélène",Liaison,,110,printemps 2001,2001-03-20,2001-06-20,p. 45,,,,Critique,Le Shah Loskar (Jean Chéry)|Loskarvillization|hip hop
620,Parmi les grands,,Liaison,,111,été 2001,2001-06-21,2001-09-21,p. 49,,,,Annonce,"DiCaire, Véronic|Ontario Pop"
621,La musique sans frontières de Jacynthe Trudeau,"MADORE, Pierrette",Liaison,,112,automne 2001,2001-09-22,2001-12-20,p. 43,,,,Portrait,"Trudeau, Jacynthe|Écho|violon"
622,"Corrinne Prévost, finissante en musique (1990) Mademoiselle chante le jazz",,Liaison,,113,hiver 2001,2001-12-21,2002-03-19,p. 12-13,,,,Portrait,"Prévost, Corrinne|jazz"
623,Isabelle Lacroix sur les traces de son idole,"RIVARD, Yolande",Liaison,,116,automne 2002,2002-09-22,2002-12-20,p. 16-17,,,,Portrait,"Lacroix, Isabelle|opéra"
624,La 30e Nuit sur l'étang : une ouverture sur demain,"TREMBLAY, Pierre-Mathieu",Liaison,,116,automne 2002,2002-09-22,2002-12-20,p. 38,,,,Annonce,La Nuit sur l'étang|relève
625,Apprivoiser le chien,"ROBITAILLE, Éric",Liaison,,116,automne 2002,2002-09-22,2002-12-20,p. 39,,,,Critique,"Flahaut, Philippe|Le chien"
626,Konflit Dramatik : le prix de l'intégrité,"TREMBLAY, Pierre-Mathieu",Liaison,,116,automne 2002,2002-09-22,2002-12-20,p. 41-42,,,,Portrait,Konflit Dramatik|rock|rap|Hors d'oeuvre|chanson en anglais|musique dans les écoles
627,David Pelletier et Geneviève Myner à l'honneur,,Liaison,,116,automne 2002,2002-09-22,2002-12-20,p. 53,,,,Annonce,"Pelletier, David|Myner, Geneviève|Ontario Pop"
628,Marc Landry : d'émotions et de musique,"MELANÇON, Johanne",Liaison,,119,été 2003,2003-06-21,2003-09-21,p. 45,,,,Portrait,"Landry, Marc|instrumental"
629,États généraux et... états d'âme,"DENIS, Dominique",Liaison,,121,hiver 2003 - 2004,2003-12-21,2004-03-19,p. 23-24,,,,Opinion,APCM (Association des professionnels de la chanson et de la musique)|industrie|critique|médias|États généraux de la chanson et de la musique franco-ontariennes
630,Qui sème la folie récolte la poésie,"DENIS, Dominique",Liaison,,122,printemps 2004,2004-03-20,2004-06-20,p. 33,,,,Critique,"LeMyre, Marc|...gaga pour ton zoom|poésie et musique|poésie électrique"
631,Varge. Rage fusion,"ROBITAILLE, Éric",Liaison,,125,hiver 2004 - 2005,2004-12-21,2005-03-19,p. 47,,,,Portrait,"Varge|Tremblay-Beaulieu, Antoine|Houle, Mitch|Houle, Jeff"
632,"Brian St-Pierre, en toute liberté","OUIMET, Jean-Michel",Liaison,,127,été 2005,2005-06-21,2005-09-21,p. 48,,,,Compte rendu,"St-Pierre, Brian|rock francophone|ballade"
633,"Olivier Fairfield, tête première dans la musique!","VALLÉE, Danièle",Liaison,,128,automne 2005,2005-09-22,2005-12-20,p. 28-29,,,,Portrait,"Fairfield, Olivier|Iceberg"
634,Tous dans l'même bateau ?,"DENIS, Dominique",Liaison,,131,printemps 2006,2006-03-20,2006-06-20,p. 9-10,,,,Opinion,médias|engagement|critique
635,Robert Taillefer ou la pedal steel guitar conjuguée à toutes les cordes!,"NAUBERT, Claude",Liaison,,133,automne 2006,2006-09-22,2006-12-20,p. 41,,,,Portrait,"Taillefer, Robert (Bob)|Bob Taillefer y lOs Hermanos"
636,"Une bonne gifle, un coup de pied et un direct au coeur!","VALLÉE, Danièle",Liaison,,134,hiver 2006 - 2007,2006-12-21,2007-03-19,p. 11-12,,,,Opinion,Festival Franco-ontarien|Swing
637,"Le disque Must Lunge de Varge. L'album promis, sans compromis","ROBITAILLE, Éric",Liaison,,134,hiver 2006 - 2007,2006-12-21,2007-03-19,p. 54,,,"
",Critique,"Varge|Tremblay-Beaulieu, Antoine|Houle, Jeff|Houle, Mitch|alternatif"
638,Diane Tarantino et le gospel en français,"NOREAU, Josette",Liaison,,136,été 2007,2007-06-21,2007-09-21,p. 59-60,,,,Critique,"Tarantino, Diane|musique chrétienne|gospel|Coeur plein"
639,L'album La vie en bleu de Cindy Doire. Cendrillon Cindy,"ROBITAILLE, Éric",Liaison,,137,automne 2007,2007-09-22,2007-12-20,p. 59,,,,Critique,"Doire, Cindy|La vie en bleu|chanter en français"
640,Le bonheur entre parenthèses,"DENIS, Dominique",L'Express de Toronto,,,23 - 29 janvier 2007,2007-01-23,2007-01-29,,,,,Critique,"Lefebvre, Amélie|Amélie"
641,Montréal : terre d'accueil... ou terre de passage?,"HAENTJENS, Brigitte",Liaison,,67,mai 1992,1992-05-01,1992-05-31,p. 18-19 et 28-29,,,,Entrevue,"exode d'artistes|Aymar, Marcel"
642,Brasse-Camarade : l'engagement du groupe-phare des années 1990,"MELANÇON, Johanne",,,,2005,2005-01-01,2005-12-31,p. 243-264,Prise de parole,Sudbury,,Analyse,"Brasse-Camarade|Lamoureux, François|Lamoureux, Pierre|chanson engagée"
643,Hommage à Patrice Desbiens à Québec,,L'Express,,21,juin 2008,2008-06-01,2008-06-30,p. 8,,,,Annonce,"Desbiens, Patrice|Doire, Cindy"
644,"La francophonie ontarienne en fête. À Ottawa, place au festival franco!",,L'Express,Sur les traces de Champlain,,été 2008,2008-06-21,2008-09-21,p. 12,,,,Annonce,"Festival Franco-ontarien|Robitaille, Damien"
