Numéro notice,Titre,Auteur,Titre Périodique,Volume,Numéro,Date,DateDébut,DateFin,Collation,Editeur,Lieu,Notes,Type,Sujets
314,Et si on chantai... Le festival franco-ontarien du 19 au 24 juin,"CÔTÉ, Christian",Le Droit,,,30 mai 1998,1998-05-30,1998-05-30,p. B3,,,,Texte d'information,Ontario Pop|Festival Franco-ontarien
315,Ottawa s'engage à verser 100 000$ pour relancer le Franco,,Le Droit,,,16 mai 2006,2006-05-16,2006-05-16,p. 26,,,,Texte d'information,Festival Franco-ontarien|financement
316,Le Franco reçoit un autre coup de pouce de 75 000$,"LAFORTUNE, Louis",Le Droit,,,26 avril 2006,2006-04-26,2006-04-26,p. 15,,,,Texte d'information,Festival Franco-ontarien|financement
317,"Le ""Franco"" privé de la subvention annuelle que lui donnait Ottawa","LAFORTUNE, Louis",Le Droit,,,16 mars 2006,2006-03-16,2006-03-16,p. 9,,,,Texte d'information,Festival Franco-ontarien|financement
318,La relance du Franco presque confirmée,"LA HAYE, Dominique",Le Droit,,,10 avril 2006,2006-04-10,2006-04-10,p. 9,,,,Texte d'information,Festival Franco-ontarien|financement
319,De gros sous pour le Franco et les Tulipes,"BARRIÈRE, Caroline",Le Droit,,,13 avril 2006,2006-04-13,2006-04-13,p. 9,,,,Texte d'information,Festival Franco-ontarien|financement
320,Subvention de 100 000$ au Franco sur fond de chicane,,Le Droit,,,14 avril 2007,2007-04-14,2007-04-14,p. 5,,,,Texte d'information,Festival Franco-ontarien|financement
321,Ça brasse en rock en möv,"BISHOP, Marc",Clik,,,été 1993,1993-06-21,1993-09-21,p. 14-15,,,,Compte rendu,"rock|Brasse-Camarade|Lamoureux, François|Lamoureux, Pierre|Bondi, Arnold"
322,Lucie Boileau : la fonceuse du Franco,"LAFORTUNE, Louis",Le Droit,,,20 juin 2005,2005-06-20,2005-06-20,p. 17,,,,Entrevue,"Boileau, Lucie|Festival Franco-ontarien|identité|langue"
323,Franco 30 ans. Un gros party pour le 30,"TURCOT, Geneviève",Le Droit,,,25 juin 2005,2005-06-25,2005-06-25,p. A3,,,,Entrevue,"Haentjens, Brigitte|Festival Franco-ontarien"
324,Superbe spectacle pour parterre clairsemé à la mémoire d'André Paiement,"MAGNY, André",Le Droit,,,25 juin 2005,2005-06-25,2005-06-25,p. 2,,,,Compte rendu,"Paiement, André|Aymar, Marcel"
325,Le festival Franco remonte dans le temps,"TURCOT, Geneviève",Le Droit,,,30 juin 2005,2005-06-30,2005-06-30,p. 31,,,,Texte d'information,"Festival Franco-ontarien|Séguin, Manon|Bénac, Michel|chanter en français"
326,"Un ""Franco"" loin des Franco-Ontariens","CANTIN, Adrien",Le Droit,,,9 juillet 1994,1994-07-09,1994-07-09,p. 21,,,,Analyse,Festival Franco-ontarien|francophonie internationale|financement
327,Le Franco atteint l'âge de la majorité : 18e anniversaire du Festival franco-ontarien d'Ottawa,,Le Soleil,,,22 juin 1993,1993-06-22,1993-06-22,p. C3,,,,Texte d'information,Festival Franco-ontarien|francophonie internationale|artistes franco-ontariens
328,Le Franco 1993. Un petit diminutif sympathique,"LAURIN, Renée",Le Droit,,,19 juin 1993,1993-06-19,1993-06-19,p. A6,,,,Texte d'information,Festival Franco-ontarien|francophonie internationale|artistes franco-ontariens
329,L'affirmation politique. Le Festival franco-ontarien,"LACHAPELLE, Judith",Le Droit,,,14 juin 1997,1997-06-14,1997-06-14,p. A3,,,,Texte d'information,Festival Franco-ontarien|artistes franco-ontariens|Monfort|engagement
330,Le nouveau Franco au parc de la Confédération. Une place plus importante aux artistes de la région,"LAURIN, Renée",Le Droit,,,24 avril 1993,1993-04-24,1993-04-24,p. 13,,,,Texte d'information,Festival Franco-ontarien|artistes franco-ontariens
331,Qui ose s'en réjouit !,"JOANISSE, Marc-André",Le Droit,,,25 juin 2002,2002-06-25,2002-06-25,p. 41,,,,Texte d'information,"Festival Franco-ontarien|Poliquin, Donald|Demers, Paul|Aymar, Marcel"
332,Festival franco-ontarien. Quatre groupes au parc Major,"JOANISSE, Marc-André",Le Droit,,,22 juin 1995,1995-06-22,1995-06-22,p. 26,,,,Compte rendu,Festival Franco-ontarien|Cormoran|Kif-Kif|En Bref
333,"Festival franco-ontarien. Ce soir, à 23 h. Véronique Dicaire puisera dans son vaste répertoire","JOANISSE, Marc-André",Le Droit,,,22 juin 1995,1995-06-22,1995-06-22,p. 26,,,,Entrevue,"DiCaire, Véronic"
334,Festival franco-ontarien. Les sauveurs du Festival franco-ontarien méritaient mieux,"JOANISSE, Marc-André",Le Droit,,,26 juin 1995,1995-06-26,1995-06-26,p. 8,,,,Compte rendu,Festival Franco-ontarien
335,5000 fêtards pour la dernière soirée du Festival franco-ontarien. Garolou ressuscite les années 1970,"DEBAYS, Barbara",Le Droit,,,25 juin 1996,1996-06-25,1996-06-25,p. 24,,,,Compte rendu,Festival Franco-ontarien|Garolou
336,Festival franco-ontarien. Le Festival franco-ontarien pour une 20e fois,"JOANISSE, Marc-André",Le Droit,,,21 juin 1995,1995-06-21,1995-06-21,p. 41,,,,Compte rendu,Festival Franco-ontarien
337,Festival franco : rendez-vous l'an prochain !,"LESSARD, Valérie",Le Droit,,,19 juin 2006,2006-06-19,2006-06-19,p. A32,,,,Compte rendu,Festival Franco-ontarien
338,Recette réussie à l'ouverture du Festival franco-ontarien,"TURCOT, Geneviève",Le Droit,,,17 juin 2006,2006-06-17,2006-06-17,p. 2,,,,Compte rendu,"Festival Franco-ontarien|DiCaire, Véronic"
339,"Un ""franco"" succès",,Le Droit,,,18 juin 2007,2007-06-18,2007-06-18,p. 21,,,,Compte rendu,"Festival Franco-ontarien|DiCaire, Véronic|Foster, Tricia|ZPN (Muipatavi, David)|Mighty Popo"
340,Pas de déficit cette année mais plutôt un budget équilibré. Le Franco relève le défi de belle façon,"LANTHIER, Manon",Le Droit,,,28 juin 1993,1993-06-28,1993-06-28,p. 4,,,,Texte d'information,Festival Franco-ontarien|financement
341,"Le Trente, ça me tente au bord d'un gouffre historique","LESSARD, Valérie",Le Droit,,,30 juin 2005,2005-06-30,2005-06-30,p. 31,,,,Texte d'information,Festival Franco-ontarien|financement
342,Coups durs pour la culture franco-ontarienne,"PILON, France",Le Droit,,,31 décembre 2005,2005-12-31,2005-12-31,p. 24,,,,Texte d'information,Festival Franco-ontarien|financement
343,Chapeau M. Leroux !,"GRATTON, Denis",Le Droit,,,17 juin 2000,2000-06-17,2000-06-17,p. 4,,,,Opinion,Festival Franco-ontarien
344,Le Franco : des appuis pour une 31e édition,"FOX, Graham",Le Droit,,,18 janvier 2006,2006-01-18,2006-01-18,p. 25,,,,Opinion,Festival Franco-ontarien|financement
345,Franco : une pause s'impose,"BERGERON, Pierre",Le Droit,,,16 janvier 2006,2006-01-16,2006-01-16,p. 18,,,,Opinion,
